"","parameter","rep","CB_DU","CB","P1"
"332","hhmale",8,0.132370013250605,-0.848466018987193,0.937861407575922
"333","hhmarried",8,0.663340889863645,1.37990217983912,0.260057485195103
"334","hheduc2",8,0.00117431092294687,-0.0575618281611994,-0.000983906256521037
"335","hheduc3",8,-0.0973905396897156,-0.0861455676225959,-0.191646602167981
"336","hheduc4",8,0.14565725599908,0.0119972325035664,0.541695814647654
"337","higheduc2",8,-0.330067352462847,0.167919305636101,-0.491824974142962
"338","higheduc3",8,-0.201060834799517,0.245206131165291,-0.267942615724967
"339","higheduc4",8,-0.0643804670082388,0.534282816998808,-0.250534896747393
"340","tfloor",8,0.469395317257999,0.581125786972,0.717305103787771
"341","twall",8,0.218072985564331,0.314323303685192,0.168538118658956
"342","toilet",8,0.376508472036013,0.423227968601373,0.242706591300245
"343","water",8,-0.0930330294108468,-0.123308051777547,-0.0129321280573067
"344","lighting",8,0.47103703567023,0.648832629966833,0.156507385725238
"345","troof",8,0.0374613304254356,0.100896671834746,-0.121218726631744
"346","fcook",8,0.0925798794172803,0.0836951594186678,0.156291610239245
"347","house",8,0.31356351931016,0.502790576765885,0.221980497339589
"348","computer",8,0.392987845463738,0.341222437342619,0.51089490655687
"349","radio",8,0.0165235522550685,0.00518002324487374,0.283330110917914
"350","tv",8,0.0785370758739875,-0.0384144878874897,0.323153388028548
"351","dvd",8,0.191980160900257,0.213087740198628,-0.153017268063673
"352","satellite",8,0.0190439621164738,0.119848055805319,0.0345882777632746
"353","ac",8,0.965772744139556,2.34801903876457,0.355924225223991
"354","gas",8,0.157685049148355,0.106547682118004,0.113550667816283
"355","refrigerator",8,0.381745813827852,0.378869753197048,0.33627055540628
"356","bicycle",8,-0.24267540151108,-0.187185966404117,-0.437029740803879
"357","motorcycle",8,0.79890661533463,1.06613029905899,0.330116898437901
"358","auto",8,1.13513191217538,1.0290729513581,1.21228761441179
"359","hp",8,0.196192564131923,0.126120519972745,0.413617350986586
"360","jewelry",8,0.130045869559716,0.0847808573036421,0.153035702829313
"361","chicken",8,-0.0433442321980256,-0.00722664057960786,-0.0409517857151994
"362","cow",8,0.617334110474981,0.877000838102928,0.327246652317326
"363","credit",8,-0.216175291808964,-0.0969424091363007,-0.527518776828352
"364","hhsector1",8,0.566679025323791,-0.691952074476824,0.837515443072777
"365","hhsector2",8,0.60518792039314,-0.599315800754079,0.549608019707083
"366","hhsector3",8,0.742945713075963,-0.547957522274343,0.774241039674522
"367","formal",8,-0.876668666436064,1.2936983910596,-1.25490590786568
"368","informal",8,-1.11076870652872,1.01670383352193,-1.31130786594472
"369","hhsize",9,-0.136075129649659,-0.121028530301991,-0.290577059866728
"370","hhage",9,0.121306779403695,0.0653973030090975,0.449826638749887
"371","age04",9,-0.071296260943094,-0.12017887745679,-0.110158718665488
"372","depratio",9,0.0872054956570938,0.12146254258341,-0.106500975734957
"373","pcfloor",9,0.606923708079875,0.661973202610186,0.370163906499597
"374","eschild",9,-0.0453554355608686,-0.046147515132046,0.0474926300553491
"375","jschild",9,-0.243571468002423,-0.237785277133577,-0.208133806558566
"376","sschild",9,0.0942155615275587,0.0342449733776622,0.0378238706547368
