"","parameter","rep","CBT_ncomm","Hybrid_mu_beta_mean_noelite","Hybrid_beta_rank_mean_noelite","Hybrid_beta_micro_mean_noelite","Hybrid_mu_beta_mean","Hybrid_beta_rank_mean","Hybrid_beta_micro_mean","CB_beta_rank_mean_noelite","CB_beta_rank_mean","CB_DU_beta_rank_mean","PMT_beta"
"1528","hhmale",4,100,0.0533786577275786,0.148227394879098,-0.0440402118094144,0.0459221345048883,0.145990722006486,-0.0465456101589194,0.11571179688584,0.100055476317691,-0.0163743862006054,-0.0484600308873182
"1529","hhmarried",4,100,0.244355287818036,0.562186462484887,-0.0577556547519989,0.262455028215005,0.591660499899797,-0.0562210729290353,0.766351371218885,0.75715615459091,0.71928942333945,-0.134184913089977
"1530","hheduc2",4,100,0.0828620092274824,0.0256512399751756,0.136869680698791,0.0808313277712193,0.0294329935482515,0.137247810872427,0.054303429310303,0.0650355804535657,0.0102625167537694,0.224992524927418
"1531","hheduc3",4,100,0.237805977653449,0.33814539312408,0.151340960095993,0.24798428926179,0.355644191210457,0.150457646040403,0.425231243583586,0.440558962902599,0.348192194148717,0.264942780028478
"1532","hheduc4",4,100,0.251905226154067,0.334669537733529,0.177984302125449,0.246571730280165,0.330111511954285,0.179037147503614,0.419218390164707,0.443981042627709,0.283829735979231,0.368883215730245
"1533","higheduc2",4,100,-0.0593893583953787,-0.090359572650351,-0.0340479140899182,-0.0456296981751367,-0.0634343017242569,-0.0321793278043265,-0.156659281992185,-0.245431458950816,0.0240871505474134,-0.182605078295303
"1534","higheduc3",4,100,-0.0787461775920981,-0.0650059366689833,-0.102128509926649,-0.075191710574704,-0.0535457979970366,-0.102160161841791,-0.145338977354183,-0.230195321177815,0.0593635904483644,-0.266482799960558
"1535","higheduc4",4,100,-0.0572875585372036,-0.0671670693271776,-0.0422573096861277,-0.0449595898570896,-0.0520907031895715,-0.0407994899048113,-0.179995506760432,-0.267187643937988,0.0955485165075735,-0.280950539984664
"1536","tfloor",4,100,0.219089823742712,0.399643602385085,0.049706907145502,0.234653544116006,0.436512526736701,0.0523526467003191,0.546456065266987,0.501161665181729,0.470818180758787,0.0723357897196767
"1537","twall",4,100,0.231343742711597,0.350205968766283,0.117436295065258,0.223042760416638,0.35366059073471,0.115282789239014,0.372348824759979,0.383876282249784,0.354597038169029,0.098119552470492
"1538","toilet",4,100,0.216541291770886,0.384009340761241,0.0555132431522814,0.218848890261765,0.392128826882142,0.0556132001738115,0.428852939075456,0.421374040826004,0.413574509491675,0.0667943888744797
"1539","water",4,100,-0.214672214443063,-0.286721386237344,-0.144257253575875,-0.200481384194416,-0.267813525077572,-0.141845750534628,-0.297395066923668,-0.308637905300125,-0.214301159249765,-0.0480378659493662
"1540","lighting",4,100,0.242707314037421,0.38519966594458,0.11930728866322,0.264594268975544,0.417856719711062,0.121949386897969,0.423669565480042,0.443249942621195,0.415223645401424,0.0651808829877069
"1541","troof",4,100,0.164490930177401,0.451200934146926,-0.116726948043197,0.206451144749423,0.536685484458714,-0.112482040086006,0.768853352970625,0.790509798478981,0.48241070723283,-0.0714700795000809
"1542","fcook",4,100,0.0774669361846461,-0.0429919494210003,0.204274606161843,0.070707354685057,-0.052807052992351,0.205295642766428,-0.152010316809302,-0.146847419589724,-0.0723145331354687,0.223380227791593
"1543","house",4,100,0.10890904220315,0.168139038108268,0.0509713037556959,0.108625877887446,0.174341457213433,0.0537227812587273,0.197517195547484,0.184513561339142,0.235397632232983,-0.00270371202475003
"1544","computer",4,100,0.540603286543398,0.594831272340248,0.518849487615636,0.529348421502916,0.579556565872692,0.518277522571721,0.592077870822115,0.584150921520097,0.571496985116344,0.731860197750219
"1545","radio",4,100,-0.0010204290429264,-0.0595286011777642,0.0468079850498583,-0.00439613904597455,-0.0598900503186798,0.0455293877144217,-0.0700871080167773,-0.0747870000966203,-0.0465904354244207,0.0911562138851623
"1546","tv",4,100,-0.0130454067069331,0.0288331932492385,-0.0691297892958144,-0.00614198043775155,0.0542161525077905,-0.0699148658317563,0.0174228628825839,0.0337982122454365,0.073191171099493,-0.0819997672776258
"1547","dvd",4,100,0.248549022935988,0.365672723332844,0.128363210834237,0.237674547761497,0.360934918495576,0.125813208716891,0.401496872761843,0.403996888432075,0.337102143823759,0.218974022623358
"1548","satellite",4,100,0.131484689493458,0.112931343942244,0.152146363208373,0.117303324148815,0.0872377483608773,0.154073549256659,0.117338015228783,0.0548277456380532,0.0641923685996942,0.103344246657275
"1549","ac",4,100,0.361979435882927,0.367829663225099,0.385781691945549,0.373566920457201,0.364446939791427,0.395306086575805,0.319847278746018,0.210484455398326,0.284832999626263,0.207577516013343
"1550","gas",4,100,0.143664763383342,0.0861156214462148,0.203128583228179,0.14135511850811,0.087224405370588,0.200281020418911,0.00328833953236539,-0.00941750636582124,0.0924924484396501,0.201567833906192
"1551","refrigerator",4,100,0.259810141146997,0.336703547216624,0.202591428731525,0.267297256378538,0.347462094033284,0.204724668340433,0.335364316048444,0.347399068864738,0.363221749617921,0.0810022149720164
"1552","bicycle",4,100,-0.0275917231250458,-0.0624606325751572,0.000608926367401918,-0.0148210408854777,-0.0452838807286633,0.00313946210014985,-0.09692523466392,-0.0955837430755661,-0.0565370499678048,-0.150099276151624
